t,connected,armed,guided,manual_input,mode,system_status
279.4624333381653,True,True,False,True,STABILIZED,4
280.46549701690674,True,True,False,True,STABILIZED,4
281.46462082862854,True,True,False,True,STABILIZED,4
282.4678008556366,True,True,False,True,STABILIZED,4
283.46598172187805,True,True,False,True,STABILIZED,4
284.46512174606323,True,True,False,True,STABILIZED,4
285.46507501602173,True,True,False,True,STABILIZED,4
286.46716833114624,True,True,False,True,STABILIZED,4
287.46652936935425,True,True,False,True,STABILIZED,4
288.4662914276123,True,True,False,True,STABILIZED,4
289.46842312812805,True,True,False,True,STABILIZED,4
290.4676296710968,True,True,False,True,STABILIZED,4
291.46689915657043,True,True,False,True,STABILIZED,4
292.46723318099976,True,False,False,True,STABILIZED,3
293.4677109718323,True,False,False,True,STABILIZED,3
294.4699923992157,True,False,False,True,STABILIZED,3
295.46929454803467,True,False,False,True,STABILIZED,3
296.4709074497223,True,False,False,True,STABILIZED,3
297.4689540863037,True,False,False,True,STABILIZED,3
298.47033524513245,True,False,False,True,STABILIZED,3
299.4695656299591,True,False,False,True,STABILIZED,3
300.4729359149933,True,False,False,True,STABILIZED,3
301.4721655845642,True,False,False,True,STABILIZED,3
302.47224950790405,True,False,False,True,STABILIZED,3
303.4707508087158,True,False,False,True,STABILIZED,3
304.4789078235626,True,False,False,True,STABILIZED,3
305.4736394882202,True,False,False,True,STABILIZED,3
306.47135376930237,True,False,False,True,STABILIZED,3
307.4737696647644,True,False,False,True,STABILIZED,3
308.4742317199707,True,False,False,True,STABILIZED,3
309.472781419754,True,False,False,True,STABILIZED,3
310.47473669052124,True,False,False,True,STABILIZED,3
311.47489619255066,True,False,False,True,STABILIZED,3
312.47398948669434,True,False,False,True,STABILIZED,3
313.4761562347412,True,False,False,True,STABILIZED,3
314.4765148162842,True,False,False,True,STABILIZED,3
315.4754796028137,True,False,False,True,STABILIZED,3
316.47619915008545,True,False,False,True,STABILIZED,3
317.4768922328949,True,False,False,True,STABILIZED,3
318.4749526977539,True,False,False,True,STABILIZED,3
319.47685742378235,True,False,False,True,STABILIZED,3
